券商,折扣,最低手續費,折讓方式,下單軟體,手機軟體,開戶優惠活動
亞東證券,2.3折,單筆最低20元,手續費採月退,有,有,
新光證券,2.8折,單筆最低20元,手續費採日退,有,有,
台新證券,3折,單筆最低20元,手續費採月退,有,有,
宏遠證券,2.8折,單筆最低20元,手續費採月退,有,有,
日進證券,2.8折,單筆最低20元,手續費採日退,有,有,
土銀證券,3折,單筆最低20元,手續費採月退,無,有,
新百王證券,3折,單筆最低20元,手續費採日退,有,有,
大昌證券,3折,單筆最低15元,手續費採月退,有,有,
犇亞證券,3折,單筆最低8元,手續費採日退,有,有,
台銀證券,3.5折,單筆最低20元,手續費採日退,有,有,
大展證券,3.6折,單筆最低20元,手續費採月退,有,有,
金港證券,3.8折,單筆最低20元,手續費採月退,無,有,
致和證券,4.38折,單筆最低20元,手續費採月退,有,有,
中農證券,5折,單筆最低20元,手續費採月退,無,無,
兆豐證券,5折,單筆最低20元,手續費採月退,有,有,
北城證券,5折,單筆最低20元,手續費採日退,有,有,
合庫證券,5折,單筆最低20元,手續費採月退,有,有,
大慶證券,5折,單筆最低20元,手續費採月退,有,有,
大眾證券,5折,單筆最低20元,手續費採月退,有,有,
彰銀證券,5折,單筆最低20元,手續費採日退,有,有,
福邦證券,5折,單筆最低20元,手續費採月退,有,有,
台企銀證券,5.6折,單筆最低20元,手續費採日退,有,無,
信富證券,6折,單筆最低20元,手續費採月退,無,無,
元大寶來證券,6折,單筆最低20元,手續費採月退,有,有,
光和證券,6折,單筆最低20元,手續費採月退,有,無,
光隆證券,6折,單筆最低20元,手續費採月退,有,無,
凱基證券,6折,單筆最低20元,手續費採月退,有,有,
富星證券,6折,單筆最低20元,手續費採月退,有,無,
富邦證券,6折,單筆最低20元,手續費採月退 興櫃採日退,有,有,
德信證券,6折,單筆最低20元,手續費採月退,有,有,
日盛證券,6折,單筆最低20元,手續費採月退,有,有,
玉山證券,6折,單筆最低20元,手續費採月退,有,有,
第一金證券,6折,單筆最低20元,手續費採月退,有,有,
統一證券,6折,單筆最低20元,手續費採月退,有,有,
陽信證券,6折,單筆最低20元,手續費採日退,有,有,
元富證券,6.5折,單筆最低20元,手續費採月退,有,有,
國泰證券,6.5折,單筆最低20元,手續費採日退,有,有,
國票證券,6.5折,單筆最低20元,手續費採月退,有,有,
安泰證券,6.5折,單筆最低20元,手續費採月退,無,無,
中國信託證券,6折,單筆最低20元,手續費採月退,有,有,
富隆證券,6.5折,單筆最低20元,手續費採月退,無,有,
康和證券,6.5折,單筆最低20元,手續費採月退,有,有,
日茂證券,6.5折,單筆最低20元,手續費採月退,無,無,
永豐金證券,6.5折,單筆最低20元,手續費採月退,有,有,
群益證券,6.5折,單筆最低20元,手續費採月退,有,有,
聯邦證券,6.5折,單筆最低20元,手續費採月退,有,有,
華南永昌證券,6.5折,單筆最低20元,手續費採月退,有,有,
豐德證券,6.5折,單筆最低20元,手續費採月退,無,無,
高橋證券,6.5折,單筆最低20元,手續費採月退,無,有,
永興證券,6.8折,單筆最低20元,手續費採月退,無,無,
永全證券,7.5折,單筆最低20元,手續費採月退,有,有,
